2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9	2E-9
-0.02	0	0	-0.02	-0.02	0	0	-0.02	-0.02	-0.02	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-0.016	-0.008	-1.490116E-8	-1.490116E-8
0	0	0	0	-0.02	0.02	0	-0.02	-0.02	-0.02	-0.008	0.008	-1.490116E-8	-0.016	-1.490116E-8	-1.490116E-8	-0.008	-0.008	-1.490116E-8	-1.490116E-8
-0.02	-0.02	-0.02	0	0	-0.02	0	-0.02	-0.02	-0.02	-1.490116E-8	-1.490116E-8	-1.490116E-8	-0.016	-1.490116E-8	-1.490116E-8	-0.016	-0.008	-1.490116E-8	-1.490116E-8
-0.02	0	0	0	-0.04	0	-0.02	-0.02	-0.02	-0.02	-0.008	0.008	-1.490116E-8	-0.016	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-1.490116E-8
0	0	0	-0.02	-0.02	0	0	-0.02	0	0.02	-1.490116E-8	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.016	-0.016	-1.490116E-8	-1.490116E-8
-0.02	0	0.02	0	-0.02	0	-0.02	0	-0.02	-0.02	-0.008	0.008	0.008	-0.016	-1.490116E-8	-1.490116E-8	-0.016	-1.490116E-8	-1.490116E-8	-1.490116E-8
0	-0.02	0	-0.02	-0.02	-0.02	0	-0.02	0	0	-0.008	-1.490116E-8	-1.490116E-8	-0.016	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-1.490116E-8
-0.02	-0.02	0	0	-0.02	0	0	-0.02	-0.02	-0.02	-0.016	-0.008	-1.490116E-8	-0.016	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-0.008
-0.02	0	-0.02	0	-0.02	0	0	-0.02	-0.02	-0.02	-0.008	-0.008	-1.490116E-8	-1.490116E-8	-1.490116E-8	-1.490116E-8	-0.016	-0.008	-1.490116E-8	-1.490116E-8
0	0	0.02	-0.02	-0.02	0.02	0	0	0	-0.02	-0.008	-1.490116E-8	-1.490116E-8	-0.016	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-0.008
0	-0.02	0	0	-0.02	-0.02	-0.02	0	-0.02	-0.02	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-0.008
-0.02	-0.02	0	-0.02	-0.02	-0.02	0	0	0	0	-0.008	-0.008	-1.490116E-8	-0.016	-0.008	-1.490116E-8	-1.490116E-8	0.008	-1.490116E-8	-0.008
0	-0.02	-0.02	0	-0.02	0	0	0	0	-0.02	-0.008	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.008
-0.02	0	0	0	-0.02	-0.02	0	-0.02	0	-0.02	-0.008	-0.008	-1.490116E-8	-0.024	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-0.008
0	-0.02	0	-0.02	0	-0.02	0	0	0	0	-0.008	-0.008	-1.490116E-8	-0.008	0.008	-1.490116E-8	-0.016	-1.490116E-8	-0.008	-0.008
-0.02	-0.02	0	0	-0.02	0	0	0.02	-0.02	-0.02	-0.016	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-1.490116E-8	-1.490116E-8	-0.008	-0.008
-0.02	-0.02	0	0.02	-0.02	-0.02	-0.02	-0.02	0	0	-0.008	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.008
0	0.02	0	-0.02	-0.02	0.02	-0.02	-0.02	-0.02	-0.02	-0.016	-1.490116E-8	0.008	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-0.016	-0.016
0	0	-0.02	0.02	-0.02	-0.02	0	-0.02	-0.02	-0.02	-0.008	-0.008	-1.490116E-8	-0.016	-1.490116E-8	-1.490116E-8	-0.008	-0.008	-0.008	-0.008
-0.02	-0.02	0	-0.02	0	0	-0.02	-0.02	0	0	-0.008	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-0.008
-0.02	-0.02	0	0	-0.02	0	0	-0.02	0	0	-0.008	-0.008	-1.490116E-8	-1.490116E-8	-1.490116E-8	-1.490116E-8	-0.008	-0.008	-0.008	-0.008
-0.02	0	0	-0.02	-0.02	0	0	-0.02	-0.02	0	-0.008	-1.490116E-8	0.008	-0.016	-1.490116E-8	0.008	-0.008	-0.008	-0.008	-0.008
0	0	-0.02	0	0	-0.02	-0.02	-0.02	-0.02	-0.02	-0.008	-0.016	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-0.008	-0.016	-0.008
-0.02	0	0	0	-0.02	-0.02	0	-0.02	-0.02	-0.02	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-0.008	-1.490116E-8	-0.008	-0.008	-0.016	-0.008
-0.02	-0.02	0	0	-0.02	0	-0.02	0	0	0	-0.008	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-0.016	-0.016	-1.490116E-8	-0.008
-0.02	-0.02	0.02	-0.02	-0.02	0	0	-0.02	0	0	-0.008	0.008	-1.490116E-8	-0.008	-0.008	0.008	-0.008	-0.008	-0.008	-0.016
0	-0.02	0	-0.02	-0.02	-0.02	0	-0.02	-0.02	0	-0.008	-1.490116E-8	-1.490116E-8	-0.016	0.008	-1.490116E-8	-0.008	-0.016	-0.008	-0.008
0	0	0	-0.02	0	0	0.02	-0.02	-0.02	-0.02	-0.008	-1.490116E-8	-1.490116E-8	-0.016	-0.016	0.008	-1.490116E-8	-1.490116E-8	-0.016	-0.008
-0.02	0	0	0	-0.02	-0.02	-0.02	-0.02	0	0	-0.008	-0.008	-1.490116E-8	-0.008	-0.008	-1.490116E-8	-0.008	-0.016	-0.008	-0.008
-0.02	0	0.02	0	-0.02	0	-0.02	-0.02	-0.02	0	-0.008	0.008	-1.490116E-8	-0.008	-0.008	0.008	-0.008	-0.016	-0.016	-0.008
0	-0.02	0	-0.02	0	-0.02	-0.02	-0.02	-0.02	0.02	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-0.008	-0.016	-0.008	-0.008
-0.02	-0.02	0	-0.02	-0.02	-0.02	0.02	-0.02	-0.02	-0.02	-0.008	-1.490116E-8	-1.490116E-8	-0.016	-1.490116E-8	-1.490116E-8	-0.008	-0.008	-0.016	-0.016
0	0	0	-0.02	0	0	0	0	0	0	-0.008	-1.490116E-8	-0.008	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-0.016	-1.490116E-8	-0.008
-0.02	0	-0.02	-0.02	-0.02	0	-0.02	-0.02	-0.02	0	-0.008	-1.490116E-8	0.008	-0.016	-0.008	0.008	-0.008	-0.008	-0.008	-0.016
-0.02	-0.02	0	0	-0.02	0	-0.02	-0.02	-0.02	0	-0.008	-0.008	-1.490116E-8	-0.008	0.008	-1.490116E-8	-0.008	-0.008	-0.008	-0.008
-0.02	-0.02	0	-0.02	-0.02	-0.02	0	-0.02	-0.02	0	-0.008	-0.008	-1.490116E-8	-0.008	-0.016	-1.490116E-8	-0.008	-0.008	-0.016	-0.008
0	-0.02	0	0	0	-0.02	0	-0.02	0.02	0	-0.008	-0.008	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-0.008	-0.008	-0.008	-0.008
0	-0.02	0	-0.02	0	-0.02	-0.02	0	0	-0.02	-0.016	-1.490116E-8	0.008	-0.008	-0.008	0.008	-0.008	-0.008	-0.024	-0.008
0	0	-0.02	0	0.02	0	-0.02	-0.04	-0.02	0	-0.008	-0.016	-1.490116E-8	-0.008	-0.008	0.008	-0.008	-0.008	-0.016	-0.008
0	0	0	0	-0.02	-0.02	-0.02	0	-0.02	-0.02	-0.016	-0.008	-0.008	-0.008	-0.008	-1.490116E-8	-1.490116E-8	-1.490116E-8	-0.016	-0.008
0	-0.02	-0.02	-0.02	0	-0.04	0	-0.04	0.02	-0.02	-0.016	-0.008	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-0.016	-0.008	-0.016	-1.490116E-8
0	-0.02	0	0	-0.02	-0.02	0	-0.02	0	-0.02	-0.016	-0.008	0.008	-0.008	-0.008	-1.490116E-8	-0.008	-0.008	-0.016	-0.016
0	-0.02	0	0	-0.02	0	-0.02	0	0	-0.02	-0.008	-0.008	-0.008	-1.490116E-8	-0.008	-0.008	-0.016	-0.008	-0.008	-1.490116E-8
-0.02	0	-0.02	0	0	0	-0.02	-0.02	-0.02	0	-0.016	-0.008	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-1.490116E-8	-0.008	-0.016	-0.008
-0.02	0	0	0	-0.02	-0.02	-0.04	-0.02	0.02	0	-0.016	-0.008	-0.008	-1.490116E-8	-0.008	-1.490116E-8	-0.016	-0.008	-1.490116E-8	-1.490116E-8
